ingredient_id,name
387,p-Chlorotoluene / 4-Chlorotoluene
388,Sec-Butylbenzene
389,Tert-Butylbenzene
390,"trans-1,2-Dichloroethene"
391,"trans-1,3-Dichloropropene"
392,Trichloroacetonitrile
393,Xylene
394,Chloropicrin
395,"1,2-Dichloroethane"
396,Bromochloroacetonitrile
397,Dibromoacetonitrile
398,Chlorodibromomethane
399,Ammonia
400,Calcium hypochlorite
401,Formaldehyde
402,Iodine
403,Sulfide
404,Fluosilicate
405,Fluosilicic Acid
406,Bromoacetic Acid
407,Chloroacetic Acid
408,Cobalt
409,Germanium
410,Lithium
411,"2,3,7,8-Tetrachlorodibenzo-P-dioxin"
412,Acetochlor
413,DCPA di-acid degradate
414,Dichlorprop
415,Paraquat
416,Tetrachloroterephthalic Acid
417,Thiobencarb
418,Microplastics
419,N-Fluorobenzenesulfonimide / NFBS
420,Perfluoro-2-methyl-3-oxahexanoic acid (GenX)
421,Perfluorobutanoic Acid / PFBA
422,2-Furancarboxaldehyde / Furfural
423,3-Hydroxycarbofuran
424,Alachlor ESA
425,Aldicarb Sulfone
426,Aldicarb Sulfoxide
427,Carbaryl
428,Chloroacetonitrile
429,Chlorpropham
430,Cis-Chlordane
431,alpha-Chlordane
432,Dimethoate
434,Iodomethane
435,Methomyl
436,Metolachlor Oxanilic Acid
437,N-Nitroso-di-N-butylamine
439,Oxamyl
441,Vernolate
442,"4-Androstene-3,17-dione"
443,Estriol
444,Tris(1-chloro-2-propyl) phosphate / TCCP
445,Diisobutyl phthalate
446,"1,1,1,2-Tetrachloroethane"
447,"1,2,3-Trimethylbenzene"
448,2-Hexanone
449,2-Methylbutane / isopentane
450,2-Nitropropane
451,Acetone
452,Acetonitrile
453,Acrylonitrile
454,Benzaldehyde
455,Carbon Disulfide
456,Chlorotrifluoromethane
457,"cis-1,2-Dichloroethene"
458,Cyclohexane
459,Dichlorodifluoromethane
460,Hexane
461,Isopropyl Alcohol
462,Methyl ethyl ketone
463,Methyl isobutyl ketone
464,Methylcyclopentane
466,Pentane
467,Tert-Butyl Alcohol
468,Tetrahydrofuran
469,Trichlorofluoromethane
470,4-Chloro-phenyl-phenyl ether
471,Butylated hydroxytoluene  / BHT
472,Bis (2-ethylhexyl) adipate
473,Etridiazole
474,"MGK 264 / N-(2-Ethylhexyl)-5-norbornene-2,3-dicarboximide"
475,Napropamide
476,Nitrofen
477,Oxyfluorfen
478,p-Cresol
479,Simetryn
480,Tebuconazole
481,Tebuthiuron
482,Terbacil
483,Terbutryn
484,Vinclozolin
485,Sodium Fluoride
498,Aldicarb
499,Propoxur / Baygon
500,Aroclor
501,cis-Nonachlor
502,Disulfoton sulfone
503,Disulfoton sulfoxide
504,Fluorobenzene
505,Gamma Chlordane
506,Methiocarb
507,Methyl Cyclohexane
508,Mevinphos
509,Tetrachlorvinphos / Stirofos
513,Natural flavors
514,Grapefruit juice (real)
515,Lemon Juice (real)
516,Mango puree
517,Orange juice
518,Citric acid
519,Hibiscus
520,Raspberry puree
521,Raspberry juice
522,Lime juice
523,Natural essence
524,Organic cane sugar
525,Organic agave inulin
526,Apple juice (concentrate)
527,Organic apple cider vinegar
528,Stevia
529,Lime juice (concentrate)
530,Lemon juice (concentrate)
531,Phosphorus
532,Bacteria
533,Parasites
534,Americium 241
535,Mendelevium 258
536,Californium 251 and 252
537,Neptunium 237
539,Polonium 210
540,Protactinium 231
541,Technitium 99
542,Strontium
543,Malic Acid
544,Fruit And Vegetable Juice
545,Potassium Benzoate
546,Sucralose
547,Green Tea Extract
548,Cherry Juice Concentrate
549,Retinol
550,Niacinamide
551,Calcium Pantothenate
552,Cholecalciferol
553,Biotin
554,Cyanocobalamin
555,Pyridoxine Hydrochloride
556,Sodium Chloride (salt)
557,Magnesium Malate
558,Cane sugar
559,Dextrose
560,Potassium citrate
561,Sodium citrate
562,Silicon dioxide
563,Stevia leaf extract
564,Absorbic acid
565,Bis(2-Ethylhexyl)phthalate
566,Organic flavors
567,Erythritol
568,Coconut water concentrate
569,Acacia gum
570,Sea salt
571,Tea extract
572,Green coffee bean extract
573,Coffeefruit extract
574,DL-alpha tocopheryl acetate (vitamin E)
575,Agave nectar
576,Cassava root fiber
577,Chicory root inulin
578,Jerusalem artichoke
579,Nopal cactus extract
580,Marshmallow root
581,Calendula flower extract
582,Kudzu root
583,Ginger juice
584,Cassava root syrup
585,Natural ginger flavor
586,Natural Mulling Spice Flavor
587,BCAAs
588,L-Citrulline
589,Panax Ginseng Extract
590,L-Carnitine
591,Steviol glycosides
592,L-theanine
593,Ginger Root Extract
594,Carbonated Purified Water
595,Organic Caffeine
596,Organic Guarana Extract
597,Organic Panax Ginseng Extract
598,organic brewed yerba mate
599,organic mango puree
600,organic pineapple juice concentrate
601,organic guava natural flavor
602,Organic apricot natural flavor
603,Carbonated Water
604,Taurine
605,Glycerol Ester of Wood Rosin
606,Sucrose Acetate Isobutyrate
607,Acesulfame K
608,Xanthan Gum
609,Magnesium Carbonate
610,Sucrose
611,Glucose
612,Inositol
613,Beta carotene
614,Natural caffeine
615,L-Leucine
616,Ascorbic Acid
617,Magnesium lactate
618,Acerola juice powder
619,L-Valine
620,L-Isoleucine
621,L-Glutamine
622,Choline bitartrate
623,Thiamine Hydrochloride
